Source                         & alpha-avg            & avg-fth33             & fth33-fix               & Galaxy
IRAS20351+2521 (CE-tot)        & $-0.69\pm 0.03$      & $0.28\pm0.04$         & $0.43_{-0.04}^{+0.04}$  & IRAS20351+2521
IRAS20351+2521 (CE-uc)         & $-0.90\pm 0.04$      & $0.15\pm0.06$         & $0.67_{-0.03}^{+0.02}$  & IRAS20351+2521
IRAS20351+2521 (CE-ext)        & $-0.51\pm 0.04$      & $0.53\pm0.05$         & $0.27_{-0.08}^{+0.07}$  & IRAS20351+2521
IRAS23436+5257 (N-tot)         & $-0.68\pm 0.03$      & $0.27\pm0.04$         & $0.39_{-0.04}^{+0.04}$  & IRAS23436+5257
IRAS23436+5257 (N-uc)          & $-0.52\pm 0.11$      & $0.52\pm0.16$         & $0.68_{-0.04}^{+0.03}$  & IRAS23436+5257
IRAS23436+5257 (N-ext)         & $-1.10\pm 0.11$      & $0.13\pm0.14$         & $0.03_{-0.01}^{+0.03}$  & IRAS23436+5257
IRAS23436+5257 (SE-tot)        & $-0.52\pm 0.03$      & $0.56\pm0.04$         & $0.58_{-0.05}^{+0.04}$  & IRAS23436+5257
IRAS23436+5257 (SE-uc)         & ---                  & ---                   & ---                     & IRAS23436+5257
IRAS23436+5257 (SE-ext)        & $-0.52\pm 0.03$      & $0.56\pm0.04$         & $0.58_{-0.05}^{+0.04}$  & IRAS23436+5257
IRASF17132+5313 (SWE-tot)      & $-0.76\pm 0.04$      & $0.16\pm0.07$         & $0.20_{-0.06}^{+0.06}$  & IRASF17132+5313
IRASF17132+5313 (SWE-uc)       & $-0.78\pm 0.00$      & $0.12\pm0.01$         & $0.21_{-0.14}^{+0.11}$  & IRASF17132+5313
IRASF17132+5313 (SWE-ext)      & ---                  & ---                   & ---                     & IRASF17132+5313
IRASF17132+5313 (NE-tot)       & $-0.58\pm 0.03$      & $0.42\pm0.04$         & $0.24_{-0.04}^{+0.04}$  & IRASF17132+5313
IRASF17132+5313 (NE-uc)        & ---                  & ---                   & ---                     & IRASF17132+5313
IRASF17132+5313 (NE-ext)       & $-0.58\pm 0.03$      & $0.42\pm0.04$         & $0.24_{-0.04}^{+0.04}$  & IRASF17132+5313
IIZw096 (NE-tot)               & $-0.37\pm 0.03$      & $0.70\pm0.03$         & $0.83_{-0.01}^{+0.01}$  & IIZw096
IIZw096 (NE-uc)                & $-0.36\pm 0.02$      & $0.71\pm0.03$         & ---                     & IIZw096
IIZw096 (NE-ext)               & $-0.32\pm 0.05$      & $0.76\pm0.06$         & $0.66_{-0.03}^{+0.03}$  & IIZw096
IIZw096 (SWE-tot)              & $-0.54\pm 0.08$      & $0.49\pm0.11$         & $0.69_{-0.02}^{+0.02}$  & IIZw096
IIZw096 (SWE-uc)               & ---                  & ---                   & ---                     & IIZw096
IIZw096 (SWE-ext)              & $-0.54\pm 0.08$      & $0.49\pm0.11$         & $0.69_{-0.02}^{+0.02}$  & IIZw096
NGC6670 (E-tot)                & $-0.63\pm 0.05$      & $0.35\pm0.06$         & $0.39_{-0.05}^{+0.05}$  & NGC6670
NGC6670 (E-uc)                 & $-0.54\pm 0.07$      & $0.48\pm0.09$         & $0.55_{-0.10}^{+0.08}$  & NGC6670
NGC6670 (E-ext)                & $-0.66\pm 0.07$      & $0.31\pm0.10$         & $0.23_{-0.10}^{+0.16}$  & NGC6670
NGC6670 (WE-C1-tot)            & $-0.60\pm 0.05$      & $0.39\pm0.07$         & $0.24_{-0.06}^{+0.05}$  & NGC6670
NGC6670 (WE-C1-uc)             & ---                  & ---                   & ---                     & NGC6670
NGC6670 (WE-C1-ext)            & $-0.60\pm 0.05$      & $0.39\pm0.07$         & $0.24_{-0.06}^{+0.05}$  & NGC6670
NGC6670 (WE-C2-tot)            & $-0.40\pm 0.07$      & $0.66\pm0.05$         & $0.28_{-0.10}^{+0.08}$  & NGC6670
NGC6670 (WE-C2-uc)             & ---                  & ---                   & ---                     & NGC6670
NGC6670 (WE-C2-ext)            & $-0.40\pm 0.07$      & $0.66\pm0.05$         & $0.28_{-0.10}^{+0.08}$  & NGC6670
NGC6670 (WE-C3-tot)            & $-0.71\pm 0.22$      & $0.24\pm0.34$         & $0.61_{-0.06}^{+0.05}$  & NGC6670
NGC6670 (WE-C3-uc)             & $-0.71\pm 0.22$      & $0.24\pm0.34$         & $0.61_{-0.06}^{+0.05}$  & NGC6670
NGC6670 (WE-C3-ext)            & ---                  & ---                   & ---                     & NGC6670
VV250 (E-tot)                  & $-0.44\pm 0.06$      & $0.62\pm0.08$         & $0.40_{-0.03}^{+0.02}$  & VV250
VV250 (E-uc)                   & $-0.49\pm 0.18$      & $0.55\pm0.24$         & $0.55_{-0.02}^{+0.02}$  & VV250
VV250 (E-ext)                  & $-0.36\pm 0.03$      & $0.72\pm0.04$         & $0.33_{-0.04}^{+0.04}$  & VV250
VV250 (WE-tot)                 & $-0.38\pm 0.15$      & $0.69\pm0.18$         & $0.61_{-0.03}^{+0.03}$  & VV250
VV250 (WE-uc)                  & $-0.37\pm 0.10$      & $0.70\pm0.13$         & $0.66_{-0.02}^{+0.02}$  & VV250
VV250 (WE-ext)                 & $-0.43\pm 0.22$      & $0.63\pm0.28$         & $0.53_{-0.07}^{+0.06}$  & VV250
